dataSource	Original springflow	Modified springflow	Difference
e842dd5ea7186eed25ea83e8af1e6a51.csv	18.141634	14.816597	3.325037
0b20650e758e986a647296acb9dfb307.csv	18.073769	14.748096	3.325673
a60872038681d0bea55cba110aaeab10.csv	18.092989	14.767298	3.325691
89e6d5775d5cba354d7b39b6837e9a61.csv	18.196205	14.87011	3.326095
08f25a734933154e66c99a5af7600850.csv	18.0467	14.719278	3.327422
dc655263c4ca5e9e079e47f6aa6a19d0.csv	18.198853	14.871326	3.327527
1c816efddff2730bc5cd1e5ede860921.csv	18.269384	14.94071	3.328674
9eb4e4ea0290c9dcf9f2f29e6b9b4e23.csv	18.145908	14.816597	3.329311
5d84cb7ccbb474b828677184cd35ec00.csv	18.24125	14.911681	3.329569
48aff86f9997a7cd53cf530eb2615f8d.csv	18.078028	14.748096	3.329932
b10a9d4f8ba31e7853a2b0c6210baeda.csv	18.097277	14.767298	3.329979
e15a3ff0d5f31a27bca3cdea8e8daa05.csv	18.049553	14.719278	3.330275
2d460f2a8c6b0f40bc5fef2b14a038c7.csv	18.144188	14.81337	3.330818
09407e3c42c0c8c099156ceae4f2c1fa.csv	17.722042	14.390427	3.331615
43003c21cb5148903bb9c7d9f23d8573.csv	18.129803	14.797602	3.332201
27c4b1665f1cf1e7a4d5000093b689ae.csv	17.721788	14.3895035	3.3322845
31b719ed9e1997a003c143e9cd4bd306.csv	17.952541	14.620185	3.332356
51007fc020aa63949f1ebb007b4e8a5f.csv	18.210798	14.877704	3.333094
4a13c2c5823ad9fcd957bebd58f10e71.csv	18.052397	14.719278	3.333119
1f611617fc13f479e630e269a20895aa.csv	18.150204	14.816597	3.333607
dbe6c9cea0fefeed626cbd711fbfca44.csv	18.245857	14.912014	3.333843
89b6302f4c9abb99bf47b60f883da6b1.csv	18.101534	14.767298	3.334236
9c3a8c5cbe430bda29f226843f572895.csv	18.055235	14.719278	3.335957
af65e1abc8cfb4b48dbc38102bacddf2.csv	18.216782	14.88034	3.336442
0fccdf4ca30a1178314035c3a3cd124c.csv	18.219421	14.881544	3.337877
e7adad3537704253a5048db4fac2fee3.csv	17.6971	14.359134	3.337966
476a54730fd94366662e0c5b03c4a427.csv	18.105816	14.767298	3.338518
de18814c2125f4a86e05ce638001b93b.csv	18.05808	14.719278	3.338802
225a171fc7e47119939f26d0204ccc9b.csv	17.730341	14.38997	3.340371
51af9b0ad1b6742eb81d78675bde683d.csv	18.164717	14.823617	3.3411
96e7cca15b52d1e98fdfc980423bdad5.csv	18.060917	14.719278	3.341639
13be394f6d196c200b1740a931565788.csv	18.11009	14.767298	3.342792
70b4eadbda0f1fd560656f288d2ac665.csv	18.063766	14.719278	3.344488
d3493f775d94b24c5b6ef092d953ef60.csv	18.237595	14.890552	3.347043
e65451d00ac48a3fee666f7f5df24711.csv	18.114359	14.767298	3.347061
f4a320b484477a5f77a487c81ee4cde4.csv	17.718939	14.370502	3.348437
1c2a6ab937712f92971281e92ce793d1.csv	18.240213	14.891765	3.348448
1bb01986ebe832da5e7cc46232951c08.csv	18.231298	14.881025	3.350273
898cbc7ed8d7a2ce6e7d79ba1700fd2b.csv	18.122799	14.772513	3.350286
7ee49d122c6ed6dda112f33122336dd4.csv	17.72179	14.370502	3.351288
0457109d840ddb81b98beae1a17599e2.csv	18.185286	14.83333	3.351956
f5cc457ccc3d65fbaf20c346d2684162.csv	18.252195	14.891261	3.360934
932bbda3d7eeed085827f1951b964b47.csv	18.20579	14.84356	3.36223
756fd8d6b43cf18c6ddd99ff144f685f.csv	17.440786	14.072069	3.368717
d618e40ba9ba5b2b4f79b9460c8b45d1.csv	18.27266	14.901502	3.371158
874049cc88667f35103e4d80ba151820.csv	18.115782	14.741497	3.374285
0dcdc52baff2e201863d7777e1d86b37.csv	18.293251	14.911745	3.381506
bbf422b9daf547b5678be578b175e547.csv	17.325798	13.942901	3.382897
4101d3dccaf728c58b932b786b0f594f.csv	17.436388	14.050936	3.385452
7a4cc658938c2cb4b2504287b7d3a3f2.csv	17.672995	14.287045	3.38595
fd2e2e1a80d26924050999e52a1de304.csv	18.10875	14.720479	3.388271
912f560b8e33ec591e1d558f90b6249d.csv	17.493076	14.099841	3.393235
2c671c4c028a8dce81b085545fcc60da.csv	17.649195	14.2519245	3.3972705
16b60f9497d9a6b1b58d52d3b2d61157.csv	17.430761	14.032744	3.398017
89a50cb37f9bd7ca0430b3f49c8d542c.csv	17.323498	13.923904	3.399594
08746577fb640888ebe2474f8bf96b05.csv	17.434599	14.034887	3.399712
d05b2b80f612eaf24873f0b4f749c9f0.csv	17.652237	14.2519245	3.4003125
bd8ad841aa65f18e4e1bee7a5caf11e5.csv	18.101711	14.700601	3.40111
e5855f3ca285be7d4bc5bdf9f44268bb.csv	18.313759	14.909048	3.404711
d71cf02ebf0951517d235d7f793225f4.csv	18.080719	14.6740265	3.4066925
281b6a96dc1158eba8ae305f5ef995db.csv	17.49269	14.082051	3.410639
244526404f12eaa79949c4ce305a880d.csv	17.590212	14.17921	3.411002
d96b6c0f91bdd90c29c37ac91c0d1ca2.csv	17.645943	14.232931	3.413012
894866ec40d0ad37f7c8bd312b75ede6.csv	17.389305	13.974008	3.415297
99605d715f6c94ff250f4b270623187f.csv	17.64898	14.232931	3.416049
