hash,inSTORAGE,inCONSTANT HEAD,inWELLS,inDRAINS,inRECHARGE,inTOTAL IN,outSTORAGE,outCONSTANT HEAD,outWELLS,outDRAINS,outRECHARGE,outTOTAL OUT,IN - OUT,PERCENT DISCREPANCY
TRBAR_wells_666f050c10a6a67fa40878cc115d0fa3,8847971328.0000,0.0000,0.0000,0.0000,22074460160.0000,30922432512.0000,8252443648.0000,0.0000,2140939904.0000,20663463936.0000,0.0000,31056846848.0000,-134414336.0000,-0.43
TRBAR_wells_666f050c10a6a67fa40878cc115d0fa3,8847971328.0000,0.0000,0.0000,0.0000,22074460160.0000,30922432512.0000,8252443648.0000,0.0000,2140939904.0000,20663463936.0000,0.0000,31056846848.0000,-134414336.0000,-0.43
TRBAR_wells_666f050c10a6a67fa40878cc115d0fa3,8847971328.0000,0.0000,0.0000,0.0000,22074460160.0000,30922432512.0000,8252443648.0000,0.0000,2140939904.0000,20663463936.0000,0.0000,31056846848.0000,-134414336.0000,-0.43
TRBAR_wells_7485086315011107e7f8c38ce12ba340,8856888320.0000,0.0000,0.0000,0.0000,22089252864.0000,30946140160.0000,8265633280.0000,0.0000,2133505920.0000,20682246144.0000,0.0000,31081385984.0000,-135245824.0000,-0.44
TRBAR_wells_7485086315011107e7f8c38ce12ba340,8856888320.0000,0.0000,0.0000,0.0000,22089252864.0000,30946140160.0000,8265633280.0000,0.0000,2133505920.0000,20682246144.0000,0.0000,31081385984.0000,-135245824.0000,-0.44
TRBAR_wells_7485086315011107e7f8c38ce12ba340,8856888320.0000,0.0000,0.0000,0.0000,22089252864.0000,30946140160.0000,8265633280.0000,0.0000,2133505920.0000,20682246144.0000,0.0000,31081385984.0000,-135245824.0000,-0.44
TRMAC_wells_0cc985d51f38249c4e03dc08e3e7fba6,11190508544.0000,0.0000,0.0000,0.0000,35515797504.0000,46706307072.0000,11541483520.0000,0.0000,2444921856.0000,32820715520.0000,0.0000,46807121920.0000,-100814848.0000,-0.22
TRMAC_wells_0cc985d51f38249c4e03dc08e3e7fba6,11190508544.0000,0.0000,0.0000,0.0000,35515797504.0000,46706307072.0000,11541483520.0000,0.0000,2444921856.0000,32820715520.0000,0.0000,46807121920.0000,-100814848.0000,-0.22
TRMAC_wells_0cc985d51f38249c4e03dc08e3e7fba6,11190508544.0000,0.0000,0.0000,0.0000,35515797504.0000,46706307072.0000,11541483520.0000,0.0000,2444921856.0000,32820715520.0000,0.0000,46807121920.0000,-100814848.0000,-0.22
TRNAT_wells_16da01e71f315402e9031bf52565af9f,11189913600.0000,0.0000,0.0000,0.0000,34424778752.0000,45614694400.0000,11500708864.0000,0.0000,2262387968.0000,31955331072.0000,0.0000,45718429696.0000,-103735296.0000,-0.23
